Origin,Dest,2008,2009
Sudan,Emirates,17,15
Germany,Ecuador,1,1
Uganda,United Kingdom,1760,1601
Iran,Japan,36,31
Philippines,Turkey,1,1
South Africa,Lesotho,,
Paraguay,United States,19,22
Colombia,Hungary,1,1
Mauritius,United Kingdom,9,9
Cambodia,Netherlands,14,19
Malawi,Mozambique,,
Brunei,Germany,,
Colombia,Paraguay,14,18
Somalia,Turkey,862,922
Sri Lanka,Germany,6594,12248
Argentina,Denmark,,
Afghanistan,Tajikistan,1790,2673
Eritrea,Uganda,796,3046
Iraq,Liberia,3,3
United Kingdom,Canada,61,57
Nicaragua,Costa Rica,619,620
Romania,Italy,73,73
Norway,Canada,1,1
Macedonia,Finland,8,9
Peru,Costa Rica,230,230
Nigeria,Ethiopia,1,0
Mongolia,Germany,186,178
Somalia,Senegal,3,3
Libya,New Zealand,8,8
South Africa,Gambia,,
Cameroon,United States,7279,7420
Burkina Faso,Sweden,2,2
Benin,Switzerland,21,25
Mexico,Netherlands,1,1
Yemen,United Kingdom,109,141
Georgia,Australia,14,10
Russia,Kazakhstan,3692,3692
Mexico,France,5,5
Zimbabwe,Norway,14,16
Kuwait,Ecuador,1,1
Ghana,Belgium,4,8
Sri Lanka,Russia,,
Western Sahara,Malaysia,1,1
"Congo, Dem.Rep.",Kenya,2927,3608
Moldova,United Kingdom,289,293
Cape Verde,United States,,
Chad,Morocco,4,5
Central Afr. Rep.,France,530,565
Russia,Slovenia,7,7
Poland,Brazil,2,2
Pakistan,Cambodia,1,1
Argentina,Ireland,1,1
Pakistan,Turkey,,4
Iran,Finland,260,278
France,Tunisia,,
Chad,Germany,34,39
Algeria,Switzerland,217,211
Angola,Malaysia,,
Cameroon,Libya,1,2
Uzbekistan,United States,1568,1697
Cape Verde,Switzerland,,0
Somalia,Cuba,,1
Rwanda,Norway,158,156
Algeria,Indonesia,,
Morocco,Norway,15,15
Kazakhstan,Portugal,4,4
Burundi,Mali,51,51
Saudi Arabia,Australia,16,16
Eritrea,Bahrain,,
Angola,United States,248,250
Georgia,Kazakhstan,,
Nicaragua,Spain,,
Cuba,Russia,10,7
India,Mauritania,1,1
Mauritania,Burkina Faso,,1
"Congo, Dem.Rep.",Germany,4418,6093
Iraq,China,23,34
North Korea,Singapore,,
Mozambique,Liberia,,
Togo,Mauritania,51,51
India,Canada,6718,6245
Panama,Canada,45,44
Liberia,Sweden,31,32
Nigeria,"Congo, Dem.Rep.",,
Cuba,Dominican Rep.,,
Togo,Thailand,1,1
Iran,Denmark,805,864
Côte d'Ivoire,Mali,2078,2028
Bosnia & Herz.,Argentina,6,6
Sudan,Namibia,,5
Djibouti,Czech Rep.,2,2
Costa Rica,Germany,23,8
Liberia,Mozambique,1,1
Norway,United States,1,1
Bulgaria,Turkey,,
Iran,Fiji,,
Estonia,France,10,10
Russia,Poland,12034,14510
Algeria,Brazil,6,7
Thailand,New Zealand,1,1
Benin,Nigeria,,
Afghanistan,Sri Lanka,3,0
Bosnia & Herz.,Zimbabwe,,
Bolivia,Norway,,
Ukraine,Ireland,199,193
Venezuela,Peru,10,12
Turkey,Switzerland,5245,4900
Congo,Cuba,,
Liberia,Tunisia,,
Bolivia,Costa Rica,8,8
Burkina Faso,Austria,5,5
France,Austria,1,1
Bangladesh,New Zealand,6,7
"Congo, Dem.Rep.",Egypt,26,29
Uganda,Netherlands,112,126
Spain,Germany,6,3
Iran,Jordan,,0
El Salvador,Mexico,171,183
Libya,Slovakia,,1
Central Afr. Rep.,Benin,9,11
Guinea,Côte d'Ivoire,3,3
Fiji,New Zealand,1,2
Sudan,Thailand,1,0
Indonesia,Papua New Guinea,10000,9689
Senegal,Togo,,
"Congo, Dem.Rep.",Cyprus,8,8
Qatar,United Kingdom,2,2
Rwanda,Mauritania,,
Uzbekistan,Croatia,,3
Algeria,Liechtenstein,1,1
Israel,Norway,5,8
Chile,Mexico,2,2
Russia,Nigeria,,
Central Afr. Rep.,Nigeria,7,7
Cuba,Guatemala,1,1
Trinidad & Tobago,Canada,164,186
Cameroon,Norway,29,30
Rwanda,Comoros,,
Poland,Denmark,2,2
Mongolia,Ireland,2,2
India,Bulgaria,2,2
Croatia,Cyprus,1,1
Sudan,Malawi,3,2
Samoa,Germany,4,0
Western Sahara,Ecuador,4,5
Lebanon,Brazil,27,29
Namibia,Zimbabwe,,
Gambia,Czech Rep.,2,2
China,Belgium,273,384
India,United Kingdom,820,674
Ethiopia,Ghana,1,3
Liberia,Eritrea,,
Bulgaria,Switzerland,22,5
Armenia,Austria,715,797
Kyrgyzstan,Ecuador,,2
Djibouti,Norway,,
Guinea,Sweden,32,41
