Origin,Dest,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
SDN,ARE,,,,,,,,,,,,,,,,,,,5,8,11,14,14,14,8,8,8,8,8,7,7,18,18,17,15
DEU,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
UGA,GBR,,,,,,,,,,,,,,905,1442,1734,1757,2866,3907,3893,3865,3838,3879,3620,,3150,3195,2335,1624,1818,1863,1870,1816,1760,1601
IRN,JPN,,,,,,,,,,50,,,,,,,,,,,,5,2,2,13,16,30,39,39,39,37,43,42,36,31
PHL,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,1,1
ZAF,LSO,190,900,930,990,500,10000,11500,11500,11500,11660,11500,11500,4000,4230,4248,212,208,103,35,35,,,,,,,,,,,,,,,
PRY,USA,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,4,,11,9,10,14,19,19,19,22
COL,HUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
MUS,GBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,9,9,9,9
KHM,NLD,,,,,,,,,,,,,,,,,,95,95,95,99,104,102,102,,31,40,40,41,41,41,46,14,14,19
MWI,MOZ,30000,,,,,,,,,,,,,,,50,50,50,,,,,,,,,,,,,,,,,
BRN,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
COL,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,8,14,18
SOM,TUR,,,,,,,,,,,,,,,,,,,,,,,25,17,12,11,13,23,29,70,66,139,668,862,922
LKA,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,17403,15121,12850,15304,5832,6388,6594,12248
ARG,DNK,,,,,,,,,,,,,,,73,36,26,7,7,7,7,7,,,,,,,,,,,,,
AFG,TJK,,,,,,,,,,,,,,,,,,3000,300,695,928,1161,2164,3622,4531,15354,15336,3427,3304,1816,1006,917,1126,1790,2673
ERI,UGA,,,,,,,,,,,,,,,,,,,,,,,,2,16,27,3,3,10,12,4,6,139,796,3046
IRQ,LBR,,,,,,,,,,,,,,,,,,,3,3,2,2,2,2,2,1,3,3,3,,3,3,3,3,3
GBR,CAN,,,,,,,,,,,,,,,,,,,,106,73,41,39,38,,32,27,27,22,21,29,32,59,61,57
NIC,CRI,,,,130000,15050,960,2000,3000,3910,8100,15200,22000,22600,31988,38560,33021,28128,27842,19964,19504,18747,17990,17842,17732,17532,2715,2636,2635,2632,619,619,619,619,619,620
ROU,ITA,,,,,,772,854,967,941,882,921,934,900,868,817,869,740,593,537,485,439,393,360,332,,84,56,43,43,57,73,74,74,73,73
NOR,CAN,,,,,,,,,,,,,,,,,,,,2,,,2,2,,2,2,,,,1,1,1,1,1
MKD,FIN,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,12,13,13,14,15,8,9
PER,CRI,,,,,,,,,,,,,,,,,,,,,,,,,5,223,233,236,230,230,230,230,230,230,230
NGA,ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0
MNG,DEU,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,171,167,193,202,178,186,178
SOM,SEN,,,,,,,,,,,,,,,,,,,1,,,9,6,7,7,7,7,7,7,7,5,3,3,3,3
LBY,NZL,,,,,,,,,,,,,,,,,,,,,,2,7,7,,7,6,1,2,8,9,8,8,8,8
ZAF,GMB,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
CMR,USA,,,,,,,,,,,,,,,,,,19,45,119,271,423,547,755,1006,1376,1849,2759,2962,3414,4684,6713,7068,7279,7420
BFA,SWE,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,,6,,,,1,1,1,1,2,2
BEN,CHE,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,9,6,12,21,25
MEX,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1
YEM,GBR,,,,,,,,,,,,,,1,1,5,10,10,10,10,10,10,10,10,,5,,,33,48,65,75,88,109,141
GEO,AUS,,,,,,,,,,,,,,,,,,,,,,8,8,2,7,8,14,16,16,11,9,3,14,14,10
RUS,KAZ,,,,,,,,,,,,,,,,,,,,,,6000,548,532,7043,12671,11895,13695,13684,13684,5000,3713,3692,3692,3692
MEX,FRA,,,,,,,,,,,,,,,,,,,,,,5,,7,,,,,,,,5,,5,5
ZWE,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,10,10,14,14,16
